bam_file_list	vcf_list	sample_explanation_pop_explanation	groups	altitud
./bam/MlTm2015_05:CABV0ANXX:1:508302.sort.bam	MlTm2015_05:CABV0ANXX:1:508302	MlTp201505_MlTp2015	ZprAlo2000	1131
./bam/MsH12014_01:CABV0ANXX:2:508431.sort.bam	MsH12014_01:CABV0ANXX:2:508431	MsH1201401_MsH12014	MV1	1825
./bam/MsH12014_02:CABV0ANXX:2:508432.sort.bam	MsH12014_02:CABV0ANXX:2:508432	MsH1201402_MsH12014	MV1	1825
./bam/MsH12014_03:CABV0ANXX:2:508433.sort.bam	MsH12014_03:CABV0ANXX:2:508433	MsH1201403_MsH12014	MV1	1825
./bam/MsH12014_04:CABV0ANXX:2:508434.sort.bam	MsH12014_04:CABV0ANXX:2:508434	MsH1201404_MsH12014	MV1	1825
./bam/MsH12014_05:CABV0ANXX:2:508435.sort.bam	MsH12014_05:CABV0ANXX:2:508435	MsH1201405_MsH12014	MV1	1825
./bam/MsH22015_01:CABV0ANXX:2:508424.sort.bam	MsH22015_01:CABV0ANXX:2:508424	MsH2201501_MsH22015	MV1	1845
./bam/MsH22015_02:CABV0ANXX:2:508426.sort.bam	MsH22015_02:CABV0ANXX:2:508426	MsH2201502_MsH22015	MV1	1845
./bam/MsH22015_03:CABV0ANXX:2:508427.sort.bam	MsH22015_03:CABV0ANXX:2:508427	MsH2201503_MsH22015	MV1	1845
./bam/MsH22015_04:CABV0ANXX:2:508428.sort.bam	MsH22015_04:CABV0ANXX:2:508428	MsH2201504_MsH22015	MV1	1845
./bam/MsH22015_05:CABV0ANXX:2:508429.sort.bam	MsH22015_05:CABV0ANXX:2:508429	MsH2201505_MsH22015	MV1	1845
./bam/MsH22015_06:CABV0ANXX:2:508430.sort.bam	MsH22015_06:CABV0ANXX:2:508430	MsH2201506_MsH22015	MV1	1845
./bam/MsNa1970_01:CABV0ANXX:1:508324.sort.bam	MsNa1970_01:CABV0ANXX:1:508324	MsNa197001_MsNa1970	LR>1960	1517
./bam/MsNa1970_02:CABV0ANXX:1:508325.sort.bam	MsNa1970_02:CABV0ANXX:1:508325	MsNa197002_MsNa1970	LR>1960	1517
./bam/MsNa1970_03:CABV0ANXX:1:508326.sort.bam	MsNa1970_03:CABV0ANXX:1:508326	MsNa197003_MsNa1970	LR>1960	1517
./bam/MsNa1970_04:CABV0ANXX:1:508327.sort.bam	MsNa1970_04:CABV0ANXX:1:508327	MsNa197004_MsNa1970	LR>1960	1517
./bam/MsNa1970_05:CABV0ANXX:1:508328.sort.bam	MsNa1970_05:CABV0ANXX:1:508328	MsNa197005_MsNa1970	LR>1960	1517
./bam/MsNa1979_01:CABV0ANXX:3:508570.sort.bam	MsNa1979_01:CABV0ANXX:3:508570	MsNa197901_MsNa1979	LR>1960	1800
./bam/MsNa1979_02:CABV0ANXX:3:508571.sort.bam	MsNa1979_02:CABV0ANXX:3:508571	MsNa197902_MsNa1979	LR>1960	1800
./bam/MsNa1979_03:CABV0ANXX:3:508572.sort.bam	MsNa1979_03:CABV0ANXX:3:508572	MsNa197903_MsNa1979	LR>1960	1800
./bam/MsNa1979_04:CABV0ANXX:3:508573.sort.bam	MsNa1979_04:CABV0ANXX:3:508573	MsNa197904_MsNa1979	LR>1960	1800
./bam/MsNa2015_01:CABV0ANXX:2:508418.sort.bam	MsNa2015_01:CABV0ANXX:2:508418	MsNa201501_MsNa2015	LR>2000	1840
./bam/MsNa2015_02:CABV0ANXX:2:508419.sort.bam	MsNa2015_02:CABV0ANXX:2:508419	MsNa201502_MsNa2015	LR>2000	1840
./bam/MsNa2015_03:CABV0ANXX:2:508420.sort.bam	MsNa2015_03:CABV0ANXX:2:508420	MsNa201503_MsNa2015	LR>2000	1840
./bam/MsNa2015_04:CABV0ANXX:2:508421.sort.bam	MsNa2015_04:CABV0ANXX:2:508421	MsNa201504_MsNa2015	LR>2000	1840
./bam/MsNa2015_05:CABV0ANXX:2:508422.sort.bam	MsNa2015_05:CABV0ANXX:2:508422	MsNa201505_MsNa2015	LR>2000	1840
./bam/MsNa2015_06:CABV0ANXX:2:508423.sort.bam	MsNa2015_06:CABV0ANXX:2:508423	MsNa201506_MsNa2015	LR>2000	1840
./bam/MsTm2015_01:CABV0ANXX:2:508436.sort.bam	MsTm2015_01:CABV0ANXX:2:508436	MsTm201501_MsTm2015	Zmx>2000	1840
./bam/MsTm2015_02:CABV0ANXX:2:508437.sort.bam	MsTm2015_02:CABV0ANXX:2:508437	MsTm201502_MsTm2015	Zmx>2000	1840
./bam/MsTm2015_03:CABV0ANXX:2:508438.sort.bam	MsTm2015_03:CABV0ANXX:2:508438	MsTm201503_MsTm2015	Zmx>2000	1840
./bam/MsTm2015_04:CABV0ANXX:2:508439.sort.bam	MsTm2015_04:CABV0ANXX:2:508439	MsTm201504_MsTm2015	Zmx>2000	1840
./bam/MsTm2015_05:CABV0ANXX:2:508440.sort.bam	MsTm2015_05:CABV0ANXX:2:508440	MsTm201505_MsTm2015	Zmx>2000	1840
./bam/MsTm2015_06:CABV0ANXX:2:508441.sort.bam	MsTm2015_06:CABV0ANXX:2:508441	MsTm201506_MsTm2015	Zmx>2000	1840
./bam/PpNa1969_01:CABV0ANXX:1:508306.sort.bam	PpNa1969_01:CABV0ANXX:1:508306	PpNa196001_PpNa1960	LR>1960	982
./bam/PpNa1969_02:CABV0ANXX:1:508307.sort.bam	PpNa1969_02:CABV0ANXX:1:508307	PpNa196002_PpNa1960	LR>1960	982
./bam/PpNa1969_03:CABV0ANXX:1:508308.sort.bam	PpNa1969_03:CABV0ANXX:1:508308	PpNa196003_PpNa1960	LR>1960	982
