New.Fam	New.ID	Original.Fam	Original.ID	Classification	Classification.1	Classification.3	Inbred.line	Accesion.N	Accesion	Breeding.program	GeneticPool.1	GeneticPool.2
NCRPIS	PI595550b	NCRPIS	PI595550:D0D0BACXX:4:A9	NCRPIS	NCRPIS	NCRPIS	PI595550	CML277	PI595550	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595551	NCRPIS	PI595551:81FENABXX:7:B2	NCRPIS	NCRPIS	NCRPIS	PI595551	CML19	PI595551	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595552	NCRPIS	PI595552:81N4HABXX:5:B2	NCRPIS	NCRPIS	NCRPIS	PI595552	CML20	PI595552	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595553	NCRPIS	PI595553:81N4HABXX:5:F3	NCRPIS	NCRPIS	NCRPIS	PI595553	CML25	PI595553	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595554	NCRPIS	PI595554:81N4HABXX:4:F6	NCRPIS	NCRPIS	NCRPIS	PI595554	CML27	PI595554	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595555	NCRPIS	PI595555:81FE8ABXX:2:E4	NCRPIS	NCRPIS	NCRPIS	PI595555	CML28	PI595555	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595556	NCRPIS	PI595556:81N4HABXX:4:D5	NCRPIS	NCRPIS	NCRPIS	PI595556	CML29	PI595556	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595557	NCRPIS	PI595557:81FE8ABXX:3:G5	NCRPIS	NCRPIS	NCRPIS	PI595557	CML31	PI595557	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595558	NCRPIS	PI595558:81FE8ABXX:1:A11	NCRPIS	NCRPIS	NCRPIS	PI595558	CML32	PI595558	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595559	NCRPIS	PI595559:81N4HABXX:4:A6	NCRPIS	NCRPIS	NCRPIS	PI595559	CML33	PI595559	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595560a	NCRPIS	PI595560:81FE8ABXX:3:A7	NCRPIS	NCRPIS	NCRPIS	PI595560	CML40	PI595560	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595560b	NCRPIS	PI595560:D0D0BACXX:4:H1	NCRPIS	NCRPIS	NCRPIS	PI595560	CML40	PI595560	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595561a	NCRPIS	PI595561:81FE8ABXX:2:C4	NCRPIS	NCRPIS	NCRPIS	PI595561	CML52	PI595561	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595561b	NCRPIS	PI595561:81N4HABXX:5:A8	NCRPIS	NCRPIS	NCRPIS	PI595561	CML52	PI595561	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595562	NCRPIS	PI595562:81FE8ABXX:1:B12	NCRPIS	NCRPIS	NCRPIS	PI595562	CML282	PI595562	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595563	NCRPIS	PI595563:81N4HABXX:4:G7	NCRPIS	NCRPIS	NCRPIS	PI595563	CML283	PI595563	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595564	NCRPIS	PI595564:81FE8ABXX:3:C4	NCRPIS	NCRPIS	NCRPIS	PI595564	CML285	PI595564	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595565a	NCRPIS	PI595565:81FE8ABXX:3:A5	NCRPIS	NCRPIS	NCRPIS	PI595565	CML287	PI595565	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595565b	NCRPIS	PI595565:81N4HABXX:5:F7	NCRPIS	NCRPIS	NCRPIS	PI595565	CML287	PI595565	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595566	NCRPIS	PI595566:81N4HABXX:5:H8	NCRPIS	NCRPIS	NCRPIS	PI595566	CML297	PI595566	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595567	NCRPIS	PI595567:81FE8ABXX:2:C7	NCRPIS	NCRPIS	NCRPIS	PI595567	CML298	PI595567	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595568	NCRPIS	PI595568:81N4HABXX:4:B4	NCRPIS	NCRPIS	NCRPIS	PI595568	CML299	PI595568	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595569	NCRPIS	PI595569:81N4HABXX:5:H1	NCRPIS	NCRPIS	NCRPIS	PI595569	CML300	PI595569	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595570	NCRPIS	PI595570:81FENABXX:7:B1	NCRPIS	NCRPIS	NCRPIS	PI595570	CML303	PI595570	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI595571	NCRPIS	PI595571:81N4HABXX:5:B8	NCRPIS	NCRPIS	NCRPIS	PI595571	CML305	PI595571	Mexico	Tropical	CML-Mx-Tropical
NCRPIS	PI635122	NCRPIS	PI635122:81FE8ABXX:3:D6	NCRPIS	NCRPIS	NCRPIS	PI635122	TZMI711	PI635122	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635123	NCRPIS	PI635123:81N4HABXX:5:E9	NCRPIS	NCRPIS	NCRPIS	PI635123	TZMI712	PI635123	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635124	NCRPIS	PI635124:81FE8ABXX:2:A9	NCRPIS	NCRPIS	NCRPIS	PI635124	TZMI713	PI635124	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635125	NCRPIS	PI635125:81N4HABXX:4:B5	NCRPIS	NCRPIS	NCRPIS	PI635125	TZMI714	PI635125	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635126	NCRPIS	PI635126:81FE8ABXX:3:D7	NCRPIS	NCRPIS	NCRPIS	PI635126	TZMI715	PI635126	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635127	NCRPIS	PI635127:81FE8ABXX:3:C5	NCRPIS	NCRPIS	NCRPIS	PI635127	TZMI716	PI635127	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635128a	NCRPIS	PI635128:81N4HABXX:4:H6	NCRPIS	NCRPIS	NCRPIS	PI635128	TZMI717	PI635128	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635128b	NCRPIS	PI635128:D0D0BACXX:4:E11	NCRPIS	NCRPIS	NCRPIS	PI635128	TZMI717	PI635128	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635129	NCRPIS	PI635129:81FE8ABXX:1:E11	NCRPIS	NCRPIS	NCRPIS	PI635129	TZMI718	PI635129	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635130	NCRPIS	PI635130:81N4HABXX:4:F11	NCRPIS	NCRPIS	NCRPIS	PI635130	TZMI719	PI635130	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635131	NCRPIS	PI635131:81FE8ABXX:3:D5	NCRPIS	NCRPIS	NCRPIS	PI635131	TZMI720	PI635131	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635132	NCRPIS	PI635132:81FE8ABXX:3:E4	NCRPIS	NCRPIS	NCRPIS	PI635132	TZMI721	PI635132	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635133	NCRPIS	PI635133:81N4HABXX:4:E12	NCRPIS	NCRPIS	NCRPIS	PI635133	TZMI722	PI635133	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635134	NCRPIS	PI635134:81N4HABXX:5:H2	NCRPIS	NCRPIS	NCRPIS	PI635134	TZMI723	PI635134	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635135	NCRPIS	PI635135:81N4HABXX:4:C9	NCRPIS	NCRPIS	NCRPIS	PI635135	TZMI724	PI635135	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635136	NCRPIS	PI635136:81FE8ABXX:2:F11	NCRPIS	NCRPIS	NCRPIS	PI635136	TZMI725	PI635136	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635137	NCRPIS	PI635137:81N4HABXX:5:C6	NCRPIS	NCRPIS	NCRPIS	PI635137	TZMI726	PI635137	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635138	NCRPIS	PI635138:81N4HABXX:5:G4	NCRPIS	NCRPIS	NCRPIS	PI635138	TZMI727	PI635138	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635139	NCRPIS	PI635139:81FE8ABXX:3:C1	NCRPIS	NCRPIS	NCRPIS	PI635139	TZMI728	PI635139	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635140	NCRPIS	PI635140:81FE8ABXX:2:C8	NCRPIS	NCRPIS	NCRPIS	PI635140	TZMI729	PI635140	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI635141	NCRPIS	PI635141:81N4HABXX:5:B4	NCRPIS	NCRPIS	NCRPIS	PI635141	TZMI730	PI635141	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639925	NCRPIS	PI639925:81N4HABXX:4:C8	NCRPIS	NCRPIS	NCRPIS	PI639925	TZSTRI101	PI639925	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926a	NCRPIS	PI639926:81N4HABXX:5:E8	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926b	NCRPIS	PI639926:C07W2ACXX:1:A4	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926c	NCRPIS	PI639926:C07W2ACXX:2:A4	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926d	NCRPIS	PI639926:D0D0BACXX:1:A4	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926e	NCRPIS	PI639926:D0D7RACXX:1:A4	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639926f	NCRPIS	PI639926:D0D7RACXX:2:A4	NCRPIS	NCRPIS	NCRPIS	PI639926	TZSTRI102	PI639926	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639927	NCRPIS	PI639927:81FE8ABXX:1:G11	NCRPIS	NCRPIS	NCRPIS	PI639927	TZSTRI103	PI639927	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639928	NCRPIS	PI639928:81FE8ABXX:2:F1	NCRPIS	NCRPIS	NCRPIS	PI639928	TZSTRI104	PI639928	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639929	NCRPIS	PI639929:81N4HABXX:5:D4	NCRPIS	NCRPIS	NCRPIS	PI639929	TZSTRI105	PI639929	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639930	NCRPIS	PI639930:81FE8ABXX:2:E12	NCRPIS	NCRPIS	NCRPIS	PI639930	TZSTRI106	PI639930	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639931	NCRPIS	PI639931:81N4HABXX:5:G7	NCRPIS	NCRPIS	NCRPIS	PI639931	TZSTRI107	PI639931	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639932a	NCRPIS	PI639932:81N4HABXX:4:C11	NCRPIS	NCRPIS	NCRPIS	PI639932	TZSTRI108	PI639932	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639932b	NCRPIS	PI639932:D0D0BACXX:4:H12	NCRPIS	NCRPIS	NCRPIS	PI639932	TZSTRI108	PI639932	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639933	NCRPIS	PI639933:81FE8ABXX:1:D11	NCRPIS	NCRPIS	NCRPIS	PI639933	TZSTRI109	PI639933	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639934	NCRPIS	PI639934:81N4HABXX:4:B10	NCRPIS	NCRPIS	NCRPIS	PI639934	TZSTRI110	PI639934	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639935	NCRPIS	PI639935:81N4HABXX:5:A5	NCRPIS	NCRPIS	NCRPIS	PI639935	TZSTRI111	PI639935	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936a	NCRPIS	PI639936:81FE8ABXX:2:D6	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936b	NCRPIS	PI639936:C07W2ACXX:1:B2	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936c	NCRPIS	PI639936:C07W2ACXX:2:B2	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936d	NCRPIS	PI639936:D0D0BACXX:1:B2	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936e	NCRPIS	PI639936:D0D7RACXX:1:B2	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639936f	NCRPIS	PI639936:D0D7RACXX:2:B2	NCRPIS	NCRPIS	NCRPIS	PI639936	TZSTRI112	PI639936	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639937a	NCRPIS	PI639937:81N4HABXX:4:B6	NCRPIS	NCRPIS	NCRPIS	PI639937	TZSTRI113	PI639937	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639937b	NCRPIS	PI639937:D0D0BACXX:4:E8	NCRPIS	NCRPIS	NCRPIS	PI639937	TZSTRI113	PI639937	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639938a	NCRPIS	PI639938:81FE8ABXX:3:F4	NCRPIS	NCRPIS	NCRPIS	PI639938	TZSTRI114	PI639938	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639938b	NCRPIS	PI639938:D0D0BACXX:4:B7	NCRPIS	NCRPIS	NCRPIS	PI639938	TZSTRI114	PI639938	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939a	NCRPIS	PI639939:81FE8ABXX:3:A1	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939b	NCRPIS	PI639939:C07W2ACXX:1:C2	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939c	NCRPIS	PI639939:C07W2ACXX:2:C2	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939d	NCRPIS	PI639939:D0D0BACXX:1:C2	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939e	NCRPIS	PI639939:D0D7RACXX:1:C2	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639939f	NCRPIS	PI639939:D0D7RACXX:2:C2	NCRPIS	NCRPIS	NCRPIS	PI639939	TZSTRI115	PI639939	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639940	NCRPIS	PI639940:81FE8ABXX:2:G8	NCRPIS	NCRPIS	NCRPIS	PI639940	TZSTRI116	PI639940	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941a	NCRPIS	PI639941:81FE8ABXX:3:F5	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941b	NCRPIS	PI639941:C07W2ACXX:1:D2	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941c	NCRPIS	PI639941:C07W2ACXX:2:D2	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941d	NCRPIS	PI639941:D0D0BACXX:1:D2	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941e	NCRPIS	PI639941:D0D0BACXX:4:G1	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941f	NCRPIS	PI639941:D0D7RACXX:1:D2	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639941g	NCRPIS	PI639941:D0D7RACXX:2:D2	NCRPIS	NCRPIS	NCRPIS	PI639941	TZSTRI117	PI639941	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639942	NCRPIS	PI639942:81N4HABXX:5:E7	NCRPIS	NCRPIS	NCRPIS	PI639942	TZSTRI118	PI639942	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639943	NCRPIS	PI639943:81N4HABXX:5:B9	NCRPIS	NCRPIS	NCRPIS	PI639943	TZSTRI119	PI639943	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639944	NCRPIS	PI639944:81N4HABXX:5:C2	NCRPIS	NCRPIS	NCRPIS	PI639944	TZSTRI120	PI639944	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639945	NCRPIS	PI639945:81FE8ABXX:2:E3	NCRPIS	NCRPIS	NCRPIS	PI639945	TZSTRI121	PI639945	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639946a	NCRPIS	PI639946:81N4HABXX:5:C7	NCRPIS	NCRPIS	NCRPIS	PI639946	TZSTRI122	PI639946	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639946b	NCRPIS	PI639946:D0D0BACXX:4:H4	NCRPIS	NCRPIS	NCRPIS	PI639946	TZSTRI122	PI639946	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639947	NCRPIS	PI639947:81FE8ABXX:2:H8	NCRPIS	NCRPIS	NCRPIS	PI639947	TZSTRI123	PI639947	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639948	NCRPIS	PI639948:81FE8ABXX:2:H3	NCRPIS	NCRPIS	NCRPIS	PI639948	TZSTRI124	PI639948	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639949	NCRPIS	PI639949:81N4HABXX:5:G9	NCRPIS	NCRPIS	NCRPIS	PI639949	TZSTRI125	PI639949	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI639950	NCRPIS	PI639950:81FE8ABXX:1:B11	NCRPIS	NCRPIS	NCRPIS	PI639950	TZSTRI126	PI639950	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641061	NCRPIS	PI641061:81FE8ABXX:3:C6	NCRPIS	NCRPIS	NCRPIS	PI641061	TZEI1	PI641061	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641062	NCRPIS	PI641062:81N4HABXX:4:B11	NCRPIS	NCRPIS	NCRPIS	PI641062	TZEI2	PI641062	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641063	NCRPIS	PI641063:81N4HABXX:4:F7	NCRPIS	NCRPIS	NCRPIS	PI641063	TZEI3	PI641063	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641064	NCRPIS	PI641064:81N4HABXX:4:A10	NCRPIS	NCRPIS	NCRPIS	PI641064	TZEI4	PI641064	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641065	NCRPIS	PI641065:81N4HABXX:4:C5	NCRPIS	NCRPIS	NCRPIS	PI641065	TZEI5	PI641065	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641066	NCRPIS	PI641066:81FE8ABXX:2:H2	NCRPIS	NCRPIS	NCRPIS	PI641066	TZEI6	PI641066	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641067	NCRPIS	PI641067:81N4HABXX:5:B3	NCRPIS	NCRPIS	NCRPIS	PI641067	TZEI7	PI641067	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641068a	NCRPIS	PI641068:81N4HABXX:4:E7	NCRPIS	NCRPIS	NCRPIS	PI641068	TZEI8	PI641068	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641068b	NCRPIS	PI641068:D0D0BACXX:4:C10	NCRPIS	NCRPIS	NCRPIS	PI641068	TZEI8	PI641068	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641069	NCRPIS	PI641069:81N4HABXX:5:E4	NCRPIS	NCRPIS	NCRPIS	PI641069	TZEI9	PI641069	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641070	NCRPIS	PI641070:81FE8ABXX:2:E2	NCRPIS	NCRPIS	NCRPIS	PI641070	TZEI10	PI641070	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641071	NCRPIS	PI641071:81FE8ABXX:2:H6	NCRPIS	NCRPIS	NCRPIS	PI641071	TZEI11	PI641071	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641072	NCRPIS	PI641072:81FE8ABXX:1:F10	NCRPIS	NCRPIS	NCRPIS	PI641072	TZEI12	PI641072	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641073a	NCRPIS	PI641073:81N4HABXX:4:D12	NCRPIS	NCRPIS	NCRPIS	PI641073	TZEI13	PI641073	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641073b	NCRPIS	PI641073:D0D0BACXX:4:E12	NCRPIS	NCRPIS	NCRPIS	PI641073	TZEI13	PI641073	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641074	NCRPIS	PI641074:81N4HABXX:5:E1	NCRPIS	NCRPIS	NCRPIS	PI641074	TZEI14	PI641074	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641075a	NCRPIS	PI641075:81N4HABXX:5:A10	NCRPIS	NCRPIS	NCRPIS	PI641075	TZEI15	PI641075	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641075b	NCRPIS	PI641075:D0D0BACXX:4:H6	NCRPIS	NCRPIS	NCRPIS	PI641075	TZEI15	PI641075	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641076	NCRPIS	PI641076:81FE8ABXX:3:E7	NCRPIS	NCRPIS	NCRPIS	PI641076	TZEI16	PI641076	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641251	NCRPIS	PI641251:81N4HABXX:4:A9	NCRPIS	NCRPIS	NCRPIS	PI641251	TZEEI1	PI641251	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641252	NCRPIS	PI641252:81FE8ABXX:3:H6	NCRPIS	NCRPIS	NCRPIS	PI641252	TZEEI2	PI641252	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641253	NCRPIS	PI641253:81FE8ABXX:2:F8	NCRPIS	NCRPIS	NCRPIS	PI641253	TZEEI3	PI641253	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641254	NCRPIS	PI641254:81FE8ABXX:2:F10	NCRPIS	NCRPIS	NCRPIS	PI641254	TZEEI4	PI641254	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641255	NCRPIS	PI641255:81FE8ABXX:2:D3	NCRPIS	NCRPIS	NCRPIS	PI641255	TZEEI5	PI641255	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641256	NCRPIS	PI641256:81FE8ABXX:1:E12	NCRPIS	NCRPIS	NCRPIS	PI641256	TZEEI6	PI641256	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641257	NCRPIS	PI641257:81FE8ABXX:3:F1	NCRPIS	NCRPIS	NCRPIS	PI641257	TZEEI7	PI641257	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641258	NCRPIS	PI641258:81FE8ABXX:3:E2	NCRPIS	NCRPIS	NCRPIS	PI641258	TZEEI8	PI641258	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641259	NCRPIS	PI641259:81FE8ABXX:3:D2	NCRPIS	NCRPIS	NCRPIS	PI641259	TZEEI9	PI641259	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641260	NCRPIS	PI641260:81N4HABXX:5:A9	NCRPIS	NCRPIS	NCRPIS	PI641260	TZEEI11	PI641260	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641261	NCRPIS	PI641261:81FE8ABXX:2:H5	NCRPIS	NCRPIS	NCRPIS	PI641261	TZEEI13	PI641261	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641262	NCRPIS	PI641262:81FE8ABXX:2:C2	NCRPIS	NCRPIS	NCRPIS	PI641262	TZEEI14	PI641262	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641263	NCRPIS	PI641263:81N4HABXX:5:H5	NCRPIS	NCRPIS	NCRPIS	PI641263	TZEEI16	PI641263	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641264	NCRPIS	PI641264:81FE8ABXX:2:H11	NCRPIS	NCRPIS	NCRPIS	PI641264	TZEEI17	PI641264	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641265	NCRPIS	PI641265:81N4HABXX:5:B5	NCRPIS	NCRPIS	NCRPIS	PI641265	TZEEI20	PI641265	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI641266	NCRPIS	PI641266:81N4HABXX:4:A11	NCRPIS	NCRPIS	NCRPIS	PI641266	TZEEI21	PI641266	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654048	NCRPIS	PI654048:81FE8ABXX:2:A6	NCRPIS	NCRPIS	NCRPIS	PI654048	TZAR101	PI654048	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654049	NCRPIS	PI654049:81FE8ABXX:2:E10	NCRPIS	NCRPIS	NCRPIS	PI654049	TZAR102	PI654049	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654050	NCRPIS	PI654050:81FE8ABXX:2:D4	NCRPIS	NCRPIS	NCRPIS	PI654050	TZAR103	PI654050	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654051a	NCRPIS	PI654051:D0D0BACXX:4:F8	NCRPIS	NCRPIS	NCRPIS	PI654051	TZAR104	PI654051	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654051b	NCRPIS	PI654051:D0D0BACXX:4:G7	NCRPIS	NCRPIS	NCRPIS	PI654051	TZAR104	PI654051	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654052	NCRPIS	PI654052:D0D0BACXX:4:G10	NCRPIS	NCRPIS	NCRPIS	PI654052	TZAR105	PI654052	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654053a	NCRPIS	PI654053:81FE8ABXX:2:F2	NCRPIS	NCRPIS	NCRPIS	PI654053	TZAR106	PI654053	Nigeria	Tropical	Nigeria-Tropical
NCRPIS	PI654053b	NCRPIS	PI654053:D0D0BACXX:4:B8	NCRPIS	NCRPIS	NCRPIS	PI654053	TZAR106	PI654053	Nigeria	Tropical	Nigeria-Tropical
SJH12015	SJH1201501	SJH12015	SJH1201501	Modern Varieties Cluster 2	Modern Varieties Cluster 2	Modern Varieties Cluster 2	SJH1201501	NA	NA	MV2	MV2	MV2
SJH12015	SJH1201502	SJH12015	SJH1201502	Modern Varieties Cluster 2	Modern Varieties Cluster 2	Modern Varieties Cluster 2	SJH1201502	NA	NA	MV2	MV2	MV2
